game_id,away,home,away_rank,home_rank,away_score,home_score
401172062,Quinnipiac,Brown,NA,NA,68,70
401172088,Bryant,Saint Peter's,NA,NA,69,44
401172340,Lafayette,Princeton,NA,NA,72,65
401172820,Loyola (MD),Old Dominion,NA,NA,53,62
401170357,NJIT,Cornell,NA,NA,59,58
401171914,Canisius,Albany,NA,NA,57,83
401175847,St. Francis (PA),Morgan State,NA,NA,71,65
401172570,Miami (OH),Purdue Fort Wayne,NA,NA,84,80
401176053,Virginia-Wise,Samford,NA,NA,64,102
401176062,Mars Hill,Middle Tennessee,NA,NA,82,96
401172047,Niagara,Stephen F. Austin,NA,NA,80,89
401169611,Monmouth,Kansas State,NA,NA,54,73
